14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.05,0.08,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,15,0,0,0,0.27,0.5,0.27,0,0.82,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,11,0,0.62,0.18,0.62,0,0.82,0,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.82,0.05,0.82,0,0.82,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,15,0,0.62,0.18,0.62,0,0.82,0,0,0,0,0
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.82,0.05,0.82,0,0.82,0,0,0,0,0
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.27,0.5,0.27,0,0.82,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.27,0.05,0.08,0,0.82,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,13,0,0,0,0.08,0.18,0.62,0,0.82,0,0,0,0.82,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,14,0,0,0,0,0,0.82,0.18,0.62,0.92,0.92,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,2,0,0,0,0,0,0,0,0,0.27,0.05,0.82,0.82,0.82,0,0,0,0.82,0
0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0.88,0.5,0.27,0.82,0.92,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,15,0.82,0.18,0.97,0.82,0.92,0,0,0,0,1
0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.62,0.05,0.08,0,0.82,0,0,0,0,0
0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.08,0.5,0.27,0,0.82,0,0,0,0.82,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,13,0,0,0,0.62,0.05,0.82,0.82,0.82,0,0,0,0.82,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,12,0,0,0,0.82,0.5,0.95,0.82,0.92,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,11,0,0,0,0,0.92,0.18,0.62,0.82,0.92,0,0,0,0,0
0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0.82,0.5,0.27,0.88,0.92,0,0,0,0,0
0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0.08,0.5,0.82,0,0,0.82,0.82,0.82,0,0
0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.62,0.05,0.62,0,0,0,0.82,0,0.82,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,1,2,2,0,0,0,0,0,0,0.62,0.05,0.97,0.92,0,0.82,0,0,0,1
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.82,0.5,0.08,0.82,0,0,0,0.82,0.82,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,14,0,0,0,0.27,0.97,0.27,0.82,0,0.82,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,12,0,0,0,0,0.97,0.05,0.62,0.82,0,0.92,0,0,0,1
0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0.08,0.05,0.62,0.97,0,0,0.95,0,0,1
